pincode,latitude,longitude
110001,28.6225833,77.2127222
110001,28.6327,77.2233
110001,28.6212222,77.2380278
110001,28.6331389,77.2179444
110001,28.6237778,77.2108611
110001,28.6348889,77.2145556
110001,28.6158611,77.2113889
110001,28.6178889,77.2019167
110001,28.6164444,77.2154167
110001,28.6174167,77.2129167
110001,28.61675,77.2934444
110001,28.6174166,77.2129166
110001,28.61,77.29
110001,28.6198611,77.2078333
110001,28.6330556,77.2077222
110001,28.626806,77.20663
110001,28.2348611,77.2348611
110001,28.6286944,77.2338611
110001,28.6433611,77.2009167
110001,28.6105833,77.1986944
110001,28.6159444,77.213
110001,28.631,77.2214722
110001,28.6165,77.2009722
110002,28.6317778,77.24025
110002,28.6471667,77.2399444
110002,28.6338611,77.2462222
110002,28.6274167,77.2435833
110002,28.6339722,77.2175556
110002,28.6284722,77.2445555
110002,28.6352,77.2469
110002,28.6284722,77.2445556
110002,28.6445,77.2231389
110002,28.6411,77.2272
110003,28.5896111,77.2191944
110003,28.6058889,77.2289722
110003,28.59,77.22
110003,28.6092222,77.2359444
110003,28.6317778,77.24025
110003,28.58725,77.2300833
110003,28.5859167,77.2095556
110003,28.5868333,77.2309444
110003,28.5889167,77.2442778
110003,28.576544,77.224654
110004,28.6210833,77.1961389
110005,28.6500278,77.1938333
110005,28.65875,77.1773333
110005,28.6500278,77.1938333
110005,22,77
110005,28.6535556,77.1918333
110005,28.6488333,77.1821111
110005,28.6614722,77.1780556
110005,28.6556667,77.199
110006,28.635313,77.224955
110006,28.6579722,77.2144444
110006,28.6594167,77.2130556
110006,28.6502222,77.2322778
110006,28.6511389,77.2241667
110006,28.6557222,77.2335833
110006,28.6564722,77.2247222
110006,28.6498056,77.2263333
110007,28.667454,77.191701
110007,28.67993,77.194021
110007,28.678498,77.207323
110007,28.629917,77.239895
110007,28.6872778,77.1936111
110007,28.6689444,77.2061111
110007,28.6765833,77.2088333
110007,28.68975,77.2152778
110007,28.6736944,77.1918333
110007,28.680865,77.201
110007,28.6766111,77.2088889
110008,28.64525,77.1656667
110008,28.6527778,77.1558889
110008,28.6225833,77.2127222
110008,28.6472222,77.16975
110008,28.6453611,77.1729722
110009,28.7108611,77.2158333
110009,28.6955833,77.1901111
110009,28.7062778,77.1897222
110009,28.7075278,77.1880556
110009,28.698444,77.202111
110009,28.6984444,77.2021111
110009,28.71525,77.2044444
110009,28.698444,77.202111
110010,28.57,77.13
110010,28.5845,77.1308056
110010,28.5760278,77.1457778
110010,77.13,28.48
110010,28.58325,77.1473611
110010,28.5957222,77.1364444
110010,28.5750833,77.0971667
110010,28.5956944,77.1363889
110010,28.5778333,77.1221667
110010,28.5988889,77.1085833
110010,28.6147778,77.1785833
110010,77.15,25.59
110010,28.6014167,77.1620278
110011,28.6111111,77.21275
110011,28.6108611,77.2148611
110012,28.6320278,77.1484167
110012,28.6401944,77.1659722
110012,28.6368611,77.1696111
110013,28.5912222,77.2423333
110013,28.58775,77.2505833
110014,28.58,77.26
110014,28.57,77.26
110014,28.5829444,77.2520278
110014,28.5838611,77.2431944
110015,28.6498611,77.1306667
110015,28.6591944,77.1315
110015,28.6645556,77.0786389
110015,28.6485278,77.1365
110015,28.6659722,77.1647778
110015,28.6541389,77.1356389
110015,28.662345,77.141081
110016,28.5373056,77.1907222
110016,28.5558611,77.2021389
110016,28.5489444,77.2073056
110016,28.5428611,77.1960278
110016,28.5380278,77.1935833
110016,28.5512222,77.2081667
110017,28.528842,77.222557
110017,28.537654,77.214682
110017,28.5346389,77.2016944
110017,28.544134,77.228442
110017,28.5245556,77.2204444
110017,28.522984,77.21452
110017,28.54,77.2000833
110017,28.522982,77.214514
110018,24.867183,67.273615
